series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests
7,1,2016-08-24,13.58,13.860000000000001,1,1,1989000
7,2,2016-08-31,13.450000000000001,13.739999999999998,1,1,1949000
7,3,2016-09-07,13.01,13.38,1,1,2314000
7,4,2016-09-14,13.29,13.88,1,1,2291000
7,5,2016-09-21,13.12,13.33,1,1,1984000
7,6,2016-09-28,13.129999999999999,13.41,1,1,1397000
7,7,2016-10-05,13.450000000000001,13.719999999999999,1,1,2154000
7,8,2016-10-12,13.26,13.450000000000001,1,1,1957000
7,9,2016-10-19,13.44,13.65,1,1,1901000
7,10,2016-10-26,15.9,16.03,1,1,1602000
